Latitude,Longitude ,FY Obligation Year,Lender_Name,Borrower_Name,Project Name,Main_Address_Line1,Main_Address_Line2,Main_Address_Line3,City,State_Abbreviation,Zip_Code,Date_Loan_Closing, Loan_Amount ,Total_Development_Cost,Loan_to_Cost,Tax_Credit_Indicator,Colonias_Tribal_Indicator,EZ/EC_Indicator,Population_Obligation,Median_Household_Income_Obligation,Project_Size,Project_Type,Total_1_Bedroom_Units,Total_2_Bedroom_Units,Total_3_Bedroom_Units,Total_4_Bedroom_Units,Total_5_Bedroom_Units,Br1 Unit Average Contract Rent,Br2 Unit Average Contract Rent,Br3 Unit Average Contract Rent,Br4 Unit Average Contract Rent,Br5 Unit Average Contract Rent,Construction_Type
string,string,date,string,string,string,string,string,string,string,string,string,date,numeric,numeric,numeric,string,string,string,numeric,numeric,numeric,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,string
34.957779,-85.728036,2014,"GREYSTONE SERVICING CORPORATION, INC.","ARBOR GATE APARTMENTS NEW, LTD",ARBOR GATE APARTMENTS,106 WILLIAMS DRIVE, , ,BRIDGEPORT,AL,354700000,8/28/14 0:00,"$261,000",1737404,0.15,Y,N,N,2418,34576,24,SENIOR,20,4,0,0,0,489,567,0,0,0,OTHER
38.774643,-121.255318,2010,BONNEVILLE MORTGAGE COMPANY,"PLACER WEST HOUSING PARTNERS, LP",PLACER WEST APARTMENTS,6055 PLACER WEST DRIVE, , ,ROCKLIN,CA,956770000,12/21/09 0:00,"$2,600,000",4503403,0.58,Y,N,N,36330,54099,44,FAMILY,28,12,4,0,0,760,875,1025,0,0,REHAB/REPAIR
31.599751,-81.909074,2002,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","SUNSET POINTE, LP",SUNSET POINTE APARTMENTS,1282 SUNSET BLVD, , ,JESUP,GA,315980000,7/6/04 0:00,"$395,000",5623200,0.07,Y,N,N,9279,31515,64,FAMILY,16,32,16,0,0,269,315,409,0,0,NEW CONSTRUCTION
35.889969,-83.604057,2010,BONNEVILLE MORTGAGE COMPANY,"GIST CREEK APARTMENTS, L.P.",GIST CREEK APARTMENTS,446 GIST CREEK ROAD, , ,SEVIERVILLE,TN,378760000,9/18/11 0:00,"$1,317,670",7363000,0.18,Y,N,N,11757,34719,48,FAMILY,8,32,8,0,0,425,505,575,0,0,NEW CONSTRUCTION
35.316851,-106.545977,2010,BONNEVILLE MORTGAGE COMPANY,LA VILLA ELENA NM MULTI-FAMILY 2007 LLC,LA VILLA ELENA MFH 2007,201 VILLA ELENA LANE, , ,BERNALILLO,NM,870040000,3/15/11 0:00,"$177,000",3042030,0.06,Y,N,N,6611,44949,54,SENIOR,43,11,0,0,0,450,550,0,0,0,REHAB/REPAIR
36.013111,-84.042046,2008,BONNEVILLE MORTGAGE COMPANY,"EMERALD HEARTLAND PROPERTIES, L.P.",BELLE MEADE APARTMENTS,7209 OLD CLINTON HIGHWAY, , ,KNOXVILLE,TN,379210000,8/7/08 0:00,"$225,302",4117304,0.05,Y,N,N,20000,27492,56,FAMILY,24,32,0,0,0,410,485,0,0,0,REHAB/REPAIR
36.013111,-84.042046,2007,BONNEVILLE MORTGAGE COMPANY,"EMERALD HEARTLAND PROPERTIES, L.P.",BELLE MEADE APARTMENTS,7209 OLD CLINTON HIGHWAY, , ,KNOXVILLE,TN,379210000,8/7/08 0:00,"$836,672",4117304,0.2,Y,N,N,20000,27492,56,FAMILY,24,32,0,0,0,410,485,0,0,0,REHAB/REPAIR
37.815498,-82.806,2006,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.",PAINT LANDING LLC,PAINT LANDING,100 ROBINSON ROAD, , ,PAINTSVILLE,KY,412570000,10/27/06 0:00,"$600,000",2719288,0.22,Y,N,N,4172,24911,24,FAMILY,8,12,4,0,0,378,428,468,0,0,NEW CONSTRUCTION
39.62609,-85.443247,2010,LANCASTER POLLARD MORTGAGE COMPANY,"RUSHVILLE APARTMENTS, L.P.",RUSHVILLE APARTMENTS,215 ASPEN DRIVE, , ,RUSHVILLE,IN,461730000,12/7/10 0:00,"$700,000",4106792,0.17,Y,N,N,5995,36646,48,MIXED,32,16,0,0,0,476,543,0,0,0,REHAB/REPAIR
40.298039,-84.169258,2007,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","SIDNEY SENIOR HOUSING PARTNERS, LTD.",COUNTRYSIDE COMMONS,890 COUNTRY SIDE LANE, , ,SIDNEY,OH,453650000,3/20/07 0:00,"$1,320,000",5315101,0.25,Y,N,N,20211,38663,50,SENIOR,0,50,0,0,0,0,429,0,0,0,NEW CONSTRUCTION
36.392723,-93.58725,2006,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","BIRCH TREE ACRES, L.P.",BIRCH TREE ACRES,COUNTY ROAD 426, , ,BERRYVILLE,AR,0,4/20/07 0:00,"$1,200,000",4446925,0.27,Y,N,N,4433,26408,38,FAMILY,0,0,38,0,0,0,0,504,0,0,NEW CONSTRUCTION
40.124031,-84.61438,2005,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","GREENVILLE HOUSING PARTNERS, LTD.",FOX RUN,1230 ADRIEN AVENUE, , ,GREENVILLE,OH,453310000,6/29/05 0:00,"$1,300,000",6371348,0.2,Y,N,N,13294,52100,60,,0,44,16,0,0,0,442,541,0,0,NEW CONSTRUCTION
32.036076,-84.16256,2003,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","STARLIGHT PLACE, LP",STARLIGHT PLACE APARTMENTS,154 STARLIGHT CIRCLE, , ,AMERICUS,GA,317090000,4/21/04 0:00,"$375,000",4800400,0.08,Y,N,N,17013,29164,52,FAMILY,0,22,30,0,0,0,334,380,0,0,NEW CONSTRUCTION
45.378876,-84.944862,2010,LANCASTER POLLARD MORTGAGE COMPANY,TRAVERSE WOODS APTS-PETOSKEY LDHA LP,TRAVERSE WOODS APARTMENTS,201 LAFAYETTE AVENUE, , ,PETOSKEY,MI,497700000,4/9/10 0:00,"$1,167,000",6548549,0.18,Y,N,N,6000,47321,128,FAMILY,64,64,0,0,0,528,553,0,0,0,REHAB/REPAIR
37.647572,-82.778236,2009,BELLWETHER ENTERPRISE REAL ESTATE,PRESTON'S CROSSING LIMITED PARTNERSHIP,PRESTON'S CROSSING,TOWN BRANCH ROAD, , ,PRESTONSBURG,KY,416530000,5/28/10 0:00,"$225,000",3647597,0.06,Y,N,N,3612,20810,24,FAMILY,0,12,12,0,0,0,387,443,0,0,NEW CONSTRUCTION
41.944725,-85.023864,2007,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","TIBBITS GREENE, LLC",TIBBITS GREENE APARTMENTS,124 NORTHSHORE DRIVE, , ,COLDWATER,MI,490360000,5/30/07 0:00,"$865,000",3264996,0.26,Y,N,N,12697,41107,24,SENIOR,4,12,8,0,0,385,505,520,0,0,NEW CONSTRUCTION
42.6007,-114.752602,2009,BONNEVILLE MORTGAGE COMPANY,MEADOWBROOK BUHL LLC,MEADOWBROOK APARTMENTS,502 ELM STREET, , ,BUHL,ID,833160000,9/15/10 0:00,"$470,000",1921660,0.24,Y,N,N,3985,34506,20,FAMILY,0,16,4,0,0,0,635,719,0,0,REHAB/REPAIR
39.98407,-81.161079,2005,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","RUSSELL'S PLACE, LLC",RUSSELL'S PLACE,501 MORGANTOWN AVE, , ,BARNESVILLE,OH,437130000,10/31/05 0:00,"$720,000",3801117,0.19,Y,N,N,4225,23925,32,SENIOR,8,24,0,0,0,460,520,0,0,0,NEW CONSTRUCTION
